WordHead,IPA
ବସା,bɔsɑ
ପୂର୍ବାନୁମାନର,puɾbɑnʊmɑnɔɾɔ
ନିୟାମକ,nijɑmɔkɔ
ଖାତିର୍,kʰɑtiɾ
ବିତେ,bite
ଚାହେଁ,t͡ʃɑhen~
ଇସାରା,isɑɾɑ
କରିଦେଇଛି,kɔɾideit͡ʃʰi
(୦)ଙ୍କୁ,(୦)ŋkʊ
ଲେଟ,leʈ
ମଂଚ,mɔMt͡ʃɔ
ଏୟାରଷ୍ଟ୍ରିପ,ejɑɾsʈɾip
ଶିକ୍ଷ୍ୟାନୁଷ୍ଠାନରେ,sikʰjɑnʊsʈʰɑnɔɾe
ବେବସାଇଟ୍,ʋebsɑiʈ
କରାଇଦେବ,kɔɾɑidebɔ
ଓଷା,osɑ
ପିଡିୟାଟ୍ରିକ୍ସ,piɖijɑʈɾiks
ବିଶ୍ଵ,bisʋɔ
ଦୁଇଜଣଙ୍କର,dʊid͡ʒɔɳɔŋkɔɾɔ
ସାମ୍ବା,sɑmbɑ
ସଂଗଠନ,sɔŋɡɔʈʰɔnɔ
ଅଗ୍ନିନିର୍ବାପକ,ɔɡniniɾbɑpɔkɔ
କିସ୍ତି,kisti
ୟୁଦ୍ଧ,|yʊddʰɔ
ଚିତ୍କାର,t͡ʃitkɑɾɔ
ଶ୍ରଦ୍ଧେୟ,sɾɔddʰejɔ
ସମ୍ମେଳନରେ,sɔmme`lɔnɔɾe
ଏହାମଧ୍ୟରେ,ehɑmɔdʰjɔɾe
ଦୃଷ୍ଟିଶକ୍ତି,dɾʊsʈisɔkti
ଚୀନ-ପାକିସ୍ତାନ,t͡ʃin-pɑkistɑn
ମତ୍ସ୍ୟ,mɔtsjɔ
ଜେଟଲୀ,d͡ʒeʈli
ଛାତ୍ରଙ୍କ,t͡ʃʰɑtɾɔŋkɔ
ଆସିଥିବା,ɑsitʰibɑ
ଦାମ୍ପତ୍ୟ,dɑmpɔtjɔ
ପେନସନ୍‌,pensɔn‌
ଜେଜେପିର,d͡ʒed͡ʒepiɾɔ
ଶେତା,setɑ
ଖଟିପାରେ,kʰɔʈipɑɾe
ସବୁକିଛି,sɔbʊkit͡ʃʰi
ଯାଇନି,|yɑini
78,78
ଢିଲା,ɖʱilɑ
ଚଣ୍ଡିଗଡ଼,t͡ʃɔɳɖiɡɔɽ
ବାବା,bɑbɑ
ପରୀକ୍ଷାରେ,pɔɾikʰjɑɾe
ରଖିବୁ,ɾɔkʰibʊ
ଲକ୍ଷଣ,lɔkʰjɔɳɔ
ହ୍ୱାଟସଆପ୍,hʋɑʈsɑp
ଶୁଣେ,sʊɳe
ଭଡା,bʰɔɖɑ
ଚାଲୁଥାଏ,t͡ʃɑlʊtʰɑe
ନିଶଙ୍କ,nisɔŋkɔ
ମାଙ୍କ,mɑ:ŋkɔ
ବେତନ,betɔnɔ
ଭିତ୍ତିହୀନ,bʰittihinɔ
ବାରିକ,bɑɾikɔ
ପାରୁ,pɑɾʊ
ଯୋଜନାପ୍ରଧାନମନ୍ତ୍ରୀ,|yod͡ʒɔnɑpɾɔdʰɑnɔmɔntɾi
ଦେବାକୁ,debɑkʊ
ମୂଲ୍ୟବୋଧକୁ,muljɔbodʰɔkʊ
ଜିଲ୍ଲା,d͡ʒillɑ
ସଂକେତକୁ,sɔŋketɔkʊ
ଲାଇନକୁ,lɑinkʊ
ବ୍ୟବସ୍ଥାକୁ,bjɔbɔstʰɑkʊ
ଓକେ,oke
ପରା,pɔɾɑ
ତାବ୍ରାଇଜ୍‌,tɑbɾɑid͡ʒ‌
ମୁଖ୍ୟମନ୍ତ୍ରୀ,mʊkʰjɔmɔntɾi
ଫଟୋ,phɔʈo
ନାନକଠାରୁ,nɑnɔkɔʈʰɑɾʊ
ଏକତିରିସୀ,ekɔtiɾisi
ସମୃଦ୍ଧ,sɔmɾʊddʰɔ
ଶିକ୍ଷାଠାରୁ,sikʰjɑʈʰɑɾʊ
